formula,AIC,BIC
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2615.272895,2659.593618
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),2615.770537,2660.091260
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2645.012010,2689.332732
log(response_time) ~ condition + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2651.582097,2695.902820
log(response_time) ~ condition + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2955.544150,2999.864872
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2605.793665,2655.654478
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),2606.383196,2656.244009
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2630.487800,2680.348613
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2633.584900,2683.445713
log(response_time) ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2947.771041,2997.631854
log(response_time) ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2617.271681,2667.132494
log(response_time) ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2607.781223,2663.182126
log(response_time) ~ domain + (1|id),3644.909187,3672.609638
log(response_time) ~ domain + (1|stimulus),3053.727297,3081.427749
log(response_time) ~ domain + (1|id:domain),3655.528246,3683.228698
log(response_time) ~ domain + (1|id:condition),3650.731137,3678.431588
log(response_time) ~ domain + (1|stimulus:condition),3333.233305,3360.933756
log(response_time) ~ domain + (1|id:domain:condition),3686.114764,3713.815216
log(response_time) ~ domain + (1|id) + (1|stimulus),2712.737238,2745.977780
log(response_time) ~ domain + (1|id) + (1|id:domain),3636.312410,3669.552951
log(response_time) ~ domain + (1|id) + (1|id:condition),3632.460257,3665.700799
log(response_time) ~ domain + (1|id) + (1|stimulus:condition),3014.793554,3048.034095
log(response_time) ~ domain + (1|id) + (1|id:domain:condition),3629.343208,3662.583750
log(response_time) ~ domain + (1|stimulus) + (1|id:domain),2673.376138,2706.616680
log(response_time) ~ domain + (1|stimulus) + (1|id:condition),2676.213789,2709.454331
log(response_time) ~ domain + (1|stimulus) + (1|stimulus:condition),3055.709832,3088.950374
log(response_time) ~ domain + (1|stimulus) + (1|id:domain:condition),2690.094637,2723.335179
log(response_time) ~ domain + (1|id:domain) + (1|id:condition),3636.614702,3669.855244
log(response_time) ~ domain + (1|id:domain) + (1|stimulus:condition),3006.449369,3039.689910
log(response_time) ~ domain + (1|id:domain) + (1|id:domain:condition),3649.067653,3682.308195
log(response_time) ~ domain + (1|id:condition) + (1|stimulus:condition),2980.183196,3013.423738
log(response_time) ~ domain + (1|id:condition) + (1|id:domain:condition),3647.055984,3680.296526
log(response_time) ~ domain + (1|stimulus:condition) + (1|id:domain:condition),3013.778060,3047.018602
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain),2656.579891,2695.360523
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:condition),2658.424599,2697.205232
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|stimulus:condition),2713.213284,2751.993916
log(response_time) ~ domain + (1|id) + (1|stimulus) + (1|id:domain:condition),2626.851463,2665.632095
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:condition),3623.197428,3661.978060
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|stimulus:condition),2982.875991,3021.656623
log(response_time) ~ domain + (1|id) + (1|id:domain) + (1|id:domain:condition),3629.677281,3668.457914
log(response_time) ~ domain + (1|id) + (1|id:condition) + (1|stimulus:condition),2964.339526,3003.120158
log(response_time) ~ domain + (1|id) + (1|id:condition) + (1|id:domain:condition),3628.511247,3667.291879
log(response_time) ~ domain + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),2951.452138,2990.232770
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition),2606.516771,2645.297404
log(response_time) ~ domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),2675.373343,2714.153975
