formula,AIC,BIC
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15226.413285,15270.734007
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),15226.413285,15270.734007
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15251.228433,15295.549156
response_time ~ condition + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15253.311155,15297.631878
response_time ~ condition + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15532.454070,15576.774793
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15222.166080,15272.026893
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),15222.166077,15272.026889
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15241.557693,15291.418506
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15242.453903,15292.314716
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15529.272101,15579.132914
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15228.413285,15278.274097
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15224.166076,15279.566979
response_time ~ domain + (1|id),16046.742149,16074.442601
response_time ~ domain + (1|stimulus),15428.666428,15456.366880
response_time ~ domain + (1|id:domain),16058.782153,16086.482605
response_time ~ domain + (1|id:condition),16051.947805,16079.648257
response_time ~ domain + (1|stimulus:condition),15697.931512,15725.631963
response_time ~ domain + (1|id:domain:condition),16089.042449,16116.742901
response_time ~ domain + (1|id) + (1|stimulus),15273.160307,15306.400849
response_time ~ domain + (1|id) + (1|id:domain),16044.719934,16077.960476
response_time ~ domain + (1|id) + (1|id:condition),16040.629372,16073.869914
response_time ~ domain + (1|id) + (1|stimulus:condition),15556.317566,15589.558108
response_time ~ domain + (1|id) + (1|id:domain:condition),16046.150442,16079.390984
response_time ~ domain + (1|stimulus) + (1|id:domain),15258.326649,15291.567191
response_time ~ domain + (1|stimulus) + (1|id:condition),15252.099364,15285.339906
response_time ~ domain + (1|stimulus) + (1|stimulus:condition),15430.666428,15463.906970
response_time ~ domain + (1|stimulus) + (1|id:domain:condition),15279.218573,15312.459115
response_time ~ domain + (1|id:domain) + (1|id:condition),16046.180671,16079.421213
response_time ~ domain + (1|id:domain) + (1|stimulus:condition),15558.425419,15591.665961
response_time ~ domain + (1|id:domain) + (1|id:domain:condition),16060.288528,16093.529070
response_time ~ domain + (1|id:condition) + (1|stimulus:condition),15535.053067,15568.293609
response_time ~ domain + (1|id:condition) + (1|id:domain:condition),16053.947805,16087.188347
response_time ~ domain + (1|stimulus:condition) + (1|id:domain:condition),15572.668159,15605.908701
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain),15247.068463,15285.849095
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:condition),15242.071423,15280.852055
response_time ~ domain + (1|id) + (1|stimulus) + (1|stimulus:condition),15275.160308,15313.940940
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain:condition),15237.187584,15275.968216
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:condition),16038.306617,16077.087249
response_time ~ domain + (1|id) + (1|id:domain) + (1|stimulus:condition),15542.812414,15581.593046
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:domain:condition),16046.210043,16084.990676
response_time ~ domain + (1|id) + (1|id:condition) + (1|stimulus:condition),15526.436325,15565.216957
response_time ~ domain + (1|id) + (1|id:condition) + (1|id:domain:condition),16042.629372,16081.410004
response_time ~ domain + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),15530.920338,15569.700970
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition),15217.900787,15256.681420
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),15260.326649,15299.107281
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),15244.657041,15283.437673
response_time ~ domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),15253.983267,15292.763899
response_time ~ domain + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),15243.449644,15282.230276
response_time ~ domain + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),15281.218573,15319.999205
response_time ~ domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15515.831712,15554.612345
response_time ~ domain + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),16048.180671,16086.961303
response_time ~ domain + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15545.610031,15584.390664
response_time ~ domain + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15532.656298,15571.436931
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),15213.305666,15257.626388
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),15249.068463,15293.389185
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),15233.512230,15277.832953
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),15243.966076,15288.286798
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),15232.881043,15277.201766
response_time ~ domain + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),15239.187584,15283.508306
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15510.762989,15555.083711
response_time ~ domain + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),16040.306617,16084.627339
response_time ~ domain + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15530.665160,15574.985883
response_time ~ domain + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15523.701204,15568.021926
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15219.900787,15264.221510
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),15219.900787,15264.221510
response_time ~ domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),15246.657041,15290.977764
response_time ~ domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15245.449644,15289.770366
response_time ~ domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),15517.831712,15562.152435
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),15215.305666,15265.166479
response_time ~ domain + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),15215.305666,15265.166479
