formula,AIC,BIC
log(response_time) ~ session_num + (1|id) + (1|id:domain),1478.677572,1502.344582
log(response_time) ~ session_num + (1|id) + (1|id:condition),1911.770828,1935.437838
log(response_time) ~ session_num + (1|id) + (1|stimulus:condition),1590.998657,1614.665667
log(response_time) ~ session_num + (1|id) + (1|id:domain:condition),1563.737614,1587.404623
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain),1361.372087,1385.039097
log(response_time) ~ session_num + (1|stimulus) + (1|id:condition),1465.873412,1489.540422
log(response_time) ~ session_num + (1|stimulus) + (1|stimulus:condition),1549.291325,1572.958334
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain:condition),1419.295276,1442.962286
log(response_time) ~ session_num + (1|id:domain) + (1|id:condition),1474.823619,1498.490628
log(response_time) ~ session_num + (1|id:domain) + (1|stimulus:condition),1408.070606,1431.737616
log(response_time) ~ session_num + (1|id:domain) + (1|id:domain:condition),1474.317919,1497.984928
log(response_time) ~ session_num + (1|id:condition) + (1|stimulus:condition),1611.419324,1635.086333
log(response_time) ~ session_num + (1|id:condition) + (1|id:domain:condition),1563.737614,1587.404623
log(response_time) ~ session_num + (1|stimulus:condition) + (1|id:domain:condition),1491.340705,1515.007715
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain),1363.372087,1391.772499
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:condition),1444.220774,1472.621185
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|stimulus:condition),1444.900173,1473.300585
log(response_time) ~ session_num + (1|id) + (1|stimulus) + (1|id:domain:condition),1404.949438,1433.349849
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:condition),1476.823619,1505.224030
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|stimulus:condition),1410.070606,1438.471017
log(response_time) ~ session_num + (1|id) + (1|id:domain) + (1|id:domain:condition),1476.317919,1504.718330
log(response_time) ~ session_num + (1|id) + (1|id:condition) + (1|stimulus:condition),1592.647440,1621.047851
log(response_time) ~ session_num + (1|id) + (1|id:condition) + (1|id:domain:condition),1565.737614,1594.138025
log(response_time) ~ session_num + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),1493.267652,1521.668064
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition),1360.409145,1388.809556
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),1362.150543,1390.550954
log(response_time) ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),1357.784926,1386.185337
log(response_time) ~ session_num + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),1467.793863,1496.194275
log(response_time) ~ session_num + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),1420.951127,1449.351538
